rating,date,comment
4,07/28/2024,A good movie that definitely exhibits a strong real life message but the twist villain was underwhelming
5,07/23/2024,"Me encantó esta pelicula, el diseño de la ciudad, la animación, es una de mis peliculas animadas favoritas."
4,07/16/2024,"A neat animated movie, but I don’t think it deserves a sequel or a show."
5,07/09/2024,I love Zootopia. It really is a must see. Everyone should see it at least once. Letter Grade: A+
4.5,07/01/2024,Like it a lot - super cool world building. Awesome characters and locations (nudist club!!!).
5,06/29/2024,"Judy Hopps smash, also the sloth, high smash"
5,06/24/2024,Another must-see Disney animated film for the family!
4.5,06/23/2024,"This movie is underrated. I love the mystery and crime theme, and the story is overall great! I love that this can be understandable for kids while also being mature for adults! But the lamb as the twist villain was stupid. Other than that, a great movie!"
5,06/23/2024,filme sensacional demais!!!!
3,06/22/2024,Do I think it was overhyped? Yes. Is it even in my top 30/35 favorite Disney movies? No. But it is a decent enough movie.
4,06/18/2024,8.5/10 That's it. That's my review.
5,06/18/2024,"great family movie, great characters. I love watching this movie and the soundtrack is great as well."
5,06/10/2024,"phim thật sự rất hay, nó mang nhiều ý nghĩa xã hội thực tế"
5,06/09/2024,"Obsessed with the song, loved this as a kid, still love it now!"
5,06/09/2024,I love everything about this movie! Love the song! Love the characters! Love the story! Could watch this movie a 100 more times and would still enjoy it! Would recommend.
5,06/04/2024,This was one of the best family animated movies in 2016! Highly recommended
5,06/03/2024,Very well animated and best Disney animated story I know of. Very well voice acted and done overall. Two thumbs way up.
2.5,05/30/2024,"Filme bom, história um pouco interessante e ótima animação, mas essa relação dos protagonistas não gostei, e a história e o roteiro as vezes é enjoativa"
5,05/29/2024,Truly one of Disney's best 3D animated films
4.5,05/01/2024,"This movie is amazing. Such a beautiful allegory and commentary on society disguised as a children’s movie about animals. Even with the Disney standard of animation, this is still a unique and elevating story. Even though it only has one real song, it’s still catchy as hell. Also a great example of s great story being elevated by great voice acting. Definitely a must watch."
4.5,05/01/2024,"This movie is amazing. Such a beautiful allegory and commentary on society disguised as a children’s movie about animals. Even with the Disney standard of animation, this is still a unique and elevating story. Even though it only has one real song, it’s still catchy as hell. Also a great example of s great story being elevated by great voice acting. Definitely a must watch."
5,05/01/2024,"The moving and heartwarming story of the adventure that Judy Hopps and Nick Wilde go on in this film, the laugh out loud hilarious moments in this film, the inspirational messages and themes, as well the huge amount of heart and emotion this film has makes it one of the best films Disney has ever made."
5,05/01/2024,Probably The Best Walt Disney Animation Movies Ever Made!
4,04/15/2024,"I love this movie. A younger me would give it 4 ½, but overtime I have been able to see its flaws. Still an instant classic and one I think everyone should watch."
5,04/02/2024,"It's a fresh narrative, has an excellent animation and music"
5,03/31/2024,The best Disney 3D computer animated Anthropomorphic movie ever!!! No doubt! I love this movie so much! The characters are so colorful and amazing 👏. The city of Zootopia is so epic and exotic 🌱🌿🌴🌳🎋🥰. Its the best Disney 3D Animated movie ever. Better than Chicken Little 2005. There I said it!!!
5,03/29/2024,cheong hor ivor:im zpd officer ivor reported for duty! and thanks to judy hopps and nick wilde!! maybe.... shanghai searching in disneyland zootopia location ahead.
3,03/27/2024,"I think this movie is a good re telling of the hit series Breaking Bad but they made it good and kid friendly,"
4.5,03/23/2024,Holy cow this was funny!🤣
5,03/23/2024,Una película de los más entretenida. Personajes: 10/10 Paisajes: 10/10 Trama: 10/10 Animación: 10/10
4.5,03/13/2024,"This is such a great movie. The only thing I didn't like about it was the twist villain. It was kind of last minute and their reasons were bad, but other than that? Perfect. It has some great comedy and a genuine message about stereotypes. The scenes were actually pretty heartwarming. The relationship between Nick and Judy feel genuine. The development is actually real and doesn't feel super forced. I love how you think everything has been solved, but everything just gets worse and there's still a problem and moral dilemmas to be solved. The visuals are really good and the world building is quite clever. Definitely recommend watching."
2.5,03/10/2024,"I hate it because of furries. Overall the movie was ""ok"" but the story was badly handled."
4,02/23/2024,"Good movie but most definitely was a gateway for many to become or to identify with furries, other than that its a good movie"
3.5,02/23/2024,"sono un peloso, sì, lo sono"
5,02/23/2024,This movie was cute. I like when they use animals in controversial movies.
5,02/14/2024,This will always the instant modern animated masterpiece that I will awaken the inner imagination of me and other people who celebrate the art style of cartoon animals
4,02/13/2024,Amazing Fresh Tale by Walt Disney Animation Studios and The Animation in this is flawless and some cool smart jokes and intriguing plot. Shakira's song Try Everything is Really Good and is a BOP. Also I prefer the title Zootropolis over Zootopia. Can't wait for ZOOTROPOLIS 2 on November 26th 2025!
5,02/13/2024,"One of the best animated movies ever made! Smart, funny, and a ton of heart. You can't ask for more in an animated movies!"
5,02/04/2024,"Zootopia (2016) is a true masterpiece. Can I say it's Disney Studios' best animated film, even better than Frozen? Absolutely. I really hope the sequel is as faithful and fun as the first."
3.5,01/21/2024,"This movie is pretty alright. If your an animal lover and a social justice worker in a way, this move works just for you. Im not a social justice worker, but for those who are, watch this movie!! :-)"
5,01/20/2024,A Disney masterpiece.
4.5,01/11/2024,"Película que si bien tiene fallas, aún así es hermosa, con personajes bien desarrollados, una trama entretenida y un mensaje bellísimo, yo le doy un 9.3/10"
5,12/26/2023,It's an awesome movie
4,12/25/2023,deep lore for animal movie - good plot
5,12/18/2023,An unexpected but totally one of Disney's best film of all time. Enjoyable for any age.
3.5,12/15/2023,"I bet there's a solid B paper for a film theory class in exploring how this movie uses what is essentially politically incorrect humor to sell a politically correct message. Its ""48 Hours"" but for kids!"
3,12/03/2023,It's fun but still ...
5,11/20/2023,I cannot say anything more... Spectacular. Wow.
5,11/12/2023,"I love the chatacter depths, they had layers and motives, the story line is absolutely well thought with small and interesting details, and the dramaturgy works well. The animation is excelent, the dialogue is lifelike, not flat or childish - even if it was meant for kids."
4.5,11/11/2023,"A well rounded, beautiful film."
5,11/03/2023,I would fap to this.
3,10/13/2023,"My brother loves this movie. But….. I think it's fine, it just isn't on my top 10 list."
4.5,10/11/2023,"A smart and vibrant animated film, a must-watch with a meaningful message and lively characters. A true gem."
4.5,09/30/2023,Es gran película tiene buen mensaje y los personajes me gustan y humor es bueno es entrenida y disfrutable el punto malo es villana pero meh es un 9.2 de 10
3.5,09/23/2023,Always liked this movie when I was younger. It's entertaining and funny. It's pretty chill I guess.
2.5,08/24/2023,It had a good first half of the movie even though it was a little stereotypical but the second half is where the movie falls off. It's almost like I have seen this movie before. Everything they do is stereotypical and feels kinda cheap.
4,08/16/2023,"A creative and entertaining blend of crime and fun, ""Zootopia"" is a masterpiece, a beautifully animated film and the perfect choice for a family movie night."
5,08/09/2023,Need a second movie.
4.5,08/05/2023,"Schnell wie unser Kaninchenptotagonist, klug und tiefgründig wie unser Fuchs und witzig wie das Bürokratenfaultier. Zootopia vereint alles was ein Familienfilm sein sollte."
3.5,08/04/2023,"Una película de Disney animada , con sus personajes ""coloridos"" , pero en particular solo animales mamíferos."
4,07/27/2023,"A very great movie, being an animated metaphor for racial segregation thats deceptively deep and dark, and the humor pretty much slaps but it kinda shys away to go hard on the drama, nonetheless a great movie for kids and adults. 8/10"
5,07/26/2023,"This is literally my most favorite movie! I waited for this since the very first teaser in 2015! It was memorable and heartwarming when I watched this in theaters in 2016! The sloth scene is straight up hilarious! I really love Nick and Judy’s relationship! I really hope they get together! I honestly to God thought someone else was going to be the twist villain. I also hope there are other animals in the movie besides mammals! I wish they put the tranquilizers from the teaser in the movie! This is officially the greatest Disney movie of all time! Better yet, this is beyond all cinema!!!"
3.5,07/15/2023,"People rating this movie as high as it is is a joke right? the movie is entertaining but has no rewatch ability and the questions it asks about how such a world functions are so ridiculous it doesn't matter that its just a fun unserious movie, animals aside from humans haven't developed civilization for a reason, not even our most similar counterparts arent even close, cmon!"
5,07/12/2023,This s a masterpiece
5,06/14/2023,Yes! Everything about this was so good (besides maybe the twist villain). The world was well designed and suited for the various animals that lived there. I was genuinely terrified in parts.
4.5,06/13/2023,"Still way better than Moana, and the prejudice story was wellthought out"
4.5,06/09/2023,"Zootopia s is an amazing movie. I watched it kind of a long time ago, so I slightly forget it, but I remember it was amazing. Zootopia is an encouraging movie, it's like most sports movie, they're encouraging. This is like that, accept not a sports movie. I also remember Zootopia is very funny, and I LOVE funny scenes in a movie. What a good movie"
4,06/08/2023,breaking bad on steroids: nice story with a new world that is composed beautifully and logically
4,06/01/2023,"In spite of an underwhelmingly formulaic plot, Zootopia is a surprisingly smart and entertaining portrayal of modern social issues about discrimination and stereotypes that effortlessly weaves with its quirky characters."
5,05/27/2023,Zootopia is one of the best and memorable good and little bit perfect Disney projects.
5,05/08/2023,"With beautiful animation, great characters, and a brilliant story, this movie highlights how great Disney can be."
4,05/07/2023,its cute and teaches a good lesson
3,05/05/2023,"Decent, but highly overrated."
2.5,05/05/2023,"This movie is fun but kind of racist, classist and sexist in tropes."
2,05/03/2023,Give the furries what they want I guess
0.5,03/28/2023,The jokes were stupid and the characters were ugly.
4,03/27/2023,"Been in a big Disney animation mood lately and watched this as i passed on it when it came out. Got to say that it is a good movie, maybe not one of my favourites but its a fun time."
5,03/26/2023,"Great movie, hope the sequel lives up to its promises"
5,03/13/2023,this is the best Disney movie.
5,02/20/2023,A great film altogether!
5,02/10/2023,"Let me just say, this is pretty intense. They drug these cute little animals and make them go crazy. Overall this is a perfect movie. Might not be the best for little children though."
5,02/09/2023,"101 out of 100! Great!, Incredible! and Amazing are just a few words that can be used to describe Zootopia, one of the the best movies of all time!"
5,02/07/2023,This is why the movie is freshed case rotten!
4.5,01/23/2023,Gets pretty messed up in some parts.
4.5,12/11/2022,The writing is incredibly impressive.
4,12/10/2022,Thought it to be very good. James Welch Henderson Arkansas 12/9/2022
5,12/01/2022,"""Zootopia, Like you have nothing see be-fur"" I remember watching this movie during my high school days. And let me tell you that after watching Deadpool. This has been now my favorite movie in the year 2016. And I am just so happy that this movie became very popular. (Especially in the Furry Fandom) The movie not just has the best story but this movie tackled a lot of racism have been trying to tackle real-life events even today. The animation is absolutely glorious for me to see, and the characters are amazingly designed. And the place Zootopia is completely beautiful and this is one of my favorite Disney places to go. And the story in this movie is an absolute masterpiece. And both Nick Wilde and Judy Hopps are just unique in that these two are my favorite characters in the movie and I absolutely love these two together If Disney is going to make a sequel for this movie. Then Nick and Judy deserve to be together and they deserve to be a couple and I don't really care what anyone else says!"
5,11/29/2022,"One of the best animated movies by Disney in recent years. Hilarious, clever, sublte. Bit corny at times, but doesn't get mawkish. Super enjoyable."
4,11/29/2022,Another strong entry from the Disney crew. Zootopia may not be a true classic but it will entertain children and adults alike.
5,11/27/2022,This is the world-building that the Sing franchise couldn't pull off. I could spend hours looking at these sets. Follow that up with an amazing story about prejudiced behavior and you got another Disney classic on your hand.
3,11/13/2022,"very racially motived movie. what i commend is they explored both sides because discrimination is never one sided. We are shown Judys experince with predators and Nicks experince with prey. Both have shown they have negativly impacted their lifes. We assume becuase predators are bigger and stronger then the prey, the bad guys in the movie would be predators but this movie adverts exceptations and makes the prey the evil mastermind to make predators seems like savages. Usually Disney plots twist can be seen a mile away but i did not see this one come making a great plot twist"
5,10/21/2022,This is my favorite movie i loved every second of it and the characters will live forever in my mind
4.5,09/18/2022,"One of the very best Disney films of the last twenty years. Sharp jokes, nice pace to the plot. Good for kids and adults. Ticks all the boxes."
4.5,07/22/2022,"""Zootopia"" or ""Zootropolis"" is an amazing movie, It hardly has any boring scenes and the voice acting is astonishing. For a kids movie it is quite suspenseful and mildly to moderately violent. This adds more excitement for the adult watching with their child or by themselves. This is a great movie for animal, mystery and animation lovers but for people that like genres such as horror and science fiction you may find it exhausting."
3.5,07/12/2022,Sequel? Hello? Where is the sequel to this fantastic film made in 2016? The only part of the film I didn't like was the twist villain. I'm never a fan of those in any film.
3.5,07/09/2022,Definitely something new and exciting I watched it a few times
5,07/08/2022,It was a really fun and entertaining movie. Made me laugh a lot. Loved the chemistry between Judy and Nick! Definitely my fave characters. Can't wait for Zootopia 2 in 2024...!
5,07/02/2022,"What can I say that hasn't already been said? This movie is a DELIGHT! It nails the goal of plenty of color with no excess of saturation, great voice-acting, a few good slapstick scenes, and the sloths being DMV workers allows all adults to relate, while the kids will enjoy the animals and funny comments. It's cute in a mature way and funny in an intelligent way and doesn't try to throw everything at you in the first half. SEE THIS MOVIE. You can actually find it on Disney+"
5,07/02/2022,"LOL, the funniest 01 hour: and 48 minutes ever!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
5,05/30/2022,"I watched this movie in the theater twice and after buying the DVD, I have watched it numerous times. It had everything one would expect in a good animated movie. A good storyline, likeable characters, surprises, emotion grabbers, humor, and simple enough for kids yet complex enough for adults."
3.5,05/16/2022,"I think this movie is great but either those reviewers are on drugs or are getting paid because this should not be rated higher than Dark Knight, Shawshank Redemption, infact this shouldn't be over a 90% it should be 89% or something. I can not believe this."
5,05/03/2022,"It's such a cute film aimed at kids, but it also explores deeper themes like people's implicit bias. Super culturally relevant. A+"
4,04/30/2022,man I hate furries so much
5,04/04/2022,Zootopia certainly knows how to make an intruging story that is filled with fun and entertaining moments plus the characters that were very well developed as the scenes progress.
4.5,04/03/2022,"Good story, animation and voice acting. A bit dark at times, which is surprising but quite entertaining and plenty of comical moments."
4,03/07/2022,"This animated comedy was really good. Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Shakira, and the rest of the cast did a fantastic job on this movie. The plot of the movie was entertaining, humorous, and thrilling. It's about fighting for something you've always wanted and doing what's right to bring the true criminals to justice. If you haven't seen this animated movie yet, check it out sometime. It's a great movie for an entire family."
4.5,01/28/2022,"Fun film, super fresh and a pretty great time overall, I really like the story and the message behind it, kind of dark but I like it, I love when Pixar talks about things like this even if they are hidden behind an animation film (just like with ""The Incredibles""), that doesn't mean people won't ge it, it has great meaning and that's great. One thing that I don't like about this film is the twist-villain, pretty silly from my point of view..."
2.5,01/23/2022,"Si no hay, deliziozo 5/10 Yo pienso que la coneja y el zorro, deberían c0g3r a lo salvaje."
5,01/10/2022,"My 14 year old daughter just had me watch this for our family movie night and it was fantastic! Judy Hopps, first ever bunny cop, heads to the big city of Zootopia. Will it eat her alive? Witty, with a couple of great messages that don't beat you over the head. Fab voice acting, stunning artwork and just all around great entertainment."
4,01/06/2022,"A nice story that is fittingly concerned with nature and individuality. It has a nice message and tackles some chancy themes in a very mature way which could easily have been inappropriate if handled wrong. The world is colorful and beautifully animated, and how everything works has a lot of nice creativity behind it. The movie is also very funny, and the humor is also taking advantage of the unique setting."
3,01/04/2022,"Even if it often leaves you excited for the next plot point, overall it comes off as wonky. The jokes aren't really that funny outside of ""sloth is slow get it"" while the commentary about introducing crack cocaine to Black neighborhoods comes across as weird when you realize the predator/prey dynamic is literally separate species, uncomfortable at best for a racial comment."
4.5,12/21/2021,"This story has a lot of messages about police brutality and racism. The main character herself seems to be a metaphor for a racist cop learning the truth about her society. Judy Hopps and Nick Wilde have become very well known amongst Disney fans. The music is pretty cool, the world building excellent and the characters are fun. Nick Wilde's growth is similar to Eugene in which it shows a person who does bad things change their ways. I wouldn't say this movie is exactly life changing and it's definitely not the best anti racism story you can show to your kids. It's more of a movie that would be enjoyed by animal lovers in general."
5,12/18/2021,Absolutely the best animated film of all time.
5,12/10/2021,"the movie is spectacular, the movie appealed to me from start to finish, which is hard to do in movies, Zootopia is the kind of movie that you connect with the movie, the investigative parts and so on."
5,12/08/2021,"One of my favorite Disney movies ever, Zootopia is a funny and heartwarming movie that has great pacing and a good message that people should watch. 🦊🐰"
3.5,12/07/2021,"Fun buddy cop adventure, with silly moments."
5,11/17/2021,I love this movie to the ends of the Earth
5,11/15/2021,"In a large city populated by mammals of every sort, a bunny cop must team up with a street hustling fox to solve a missing mammal case. What makes this movie shine is the writing. Creating an allegory for racism between predators and prey works extremely well. The different boroughs of Zootopia to accommodate animals from different environments is creative. Jason Bateman and Ginnifer Goodwin work well together and the supportive cast is memorable in their own ways. This film is well put together, a new gem in Disney animation and a must watch."
5,11/13/2021,"Nick P Wilde steals The show Immensely. I Want him - MunkmasterMarisa Onto more pressing matters. Judy hopps can Go to Zoo H E Double Hockey Stix. Such a D-bag. However, I Will say she Does Bring a Nice Foil Aspect to the Dynamic between her and Nick p Wilde. Anywho, Sincerelky"
5,11/09/2021,One of my absolute favorite movies
4,11/04/2021,"Visually fun and very clever, this flick is the kind of kid's movie that adults can also enjoy!"
4.5,10/25/2021,"This is one of the times when the animation was again at one of highest heights. Animation quality, thrills, humor, voice cast are all fantastic. Some nit-picky flaws in storytelling but other than that a charming film."
5,10/14/2021,saw it in the theater twice.one of the best animated movies ever
4,09/18/2021,muy god pero re de furro esta peli
5,08/27/2021,"As a young viewer, this movie is definitely incredible for me. I'm remembering 8 years old me screaming in the cinema because of Nick Wilde! What a childhood!"
5,08/23/2021,"One of the best animated movies ever!! Top quality animation and voice acting put this near the top. Add the inspirational and good message with a unique and great story (plenty of parts that make you chuckle, too!) with a unique setting and this rockets to quite possibly my favorite animated movie."
4,08/21/2021,"This type of world building with character driven story is something you'd expect from Pixar at their brilliant best, but Zootropolis is Disney Animation's doing. The story itself is progressive in its outlook, a female bunny achieves her dream of becoming the first rabbit to become a police officer, but faces prejudice in every aspect of the job. Zootropolis has an excellent message at its heart, but it's also cleverly written and amusing, perfect to keep the kids (and adults) occupied during this summer holiday afternoon."
2,08/01/2021,"Has a brilliant tomato score and critics but wow, I found it really a chore to get through. It was not for me. Character designs not for me. Just seemed a bit boring actually."
4.5,07/26/2021,"Summary: Judy Hopps dreams of leaving Bunnyburrow and becoming Zootopia's first rabbit police officer. Her first day on the job, she gets stuck with parking duty and gets duped by a sly fox. She hopes that one day she'll be able to fight real crime. Takeaways: In a world where prey and predators live harmoniously (well, mostly), the animal society still has stereotypes about the jobs each animal is meant for. A precious story about following your dreams with a spunky main character and many laugh-out-loud moments."
3.5,07/19/2021,Defiantly for my furry friends out there.
4,07/14/2021,"bro. I remember when i first watched it in 2016, i still like it."
5,07/06/2021,Excellent will watch anyday
4,06/19/2021,"Came into this with low expectations but was pleasantly surprised. Had a lot of depth to its plot and never rushed it's impressive, albeit predictable ending"
5,06/09/2021,Definitely one of my favorite films ever...Zootopia has an important message for its young viewers and animation that will leave you speechless. Outstanding characters and a great story. 10/10
5,05/28/2021,By far my favourite Disney movie
5,05/26/2021,"Thanks to Disney+ and an unlimited number of Disney movies at my fingertips, I was finally able to enjoy Zootopia last night. It was surprisingly a very adult-centric movie and for a while I even forgot I was watching a Disney cartoon. The animals portrayed had very emotional, real world human problems to overcome and guaranteed anyone who watched this movie can relate to one of them. Personally...I relate to the sloths. But on a more serious note, I am very pleased to have found out that a sequel will be released later in 2021 because these characters are just too good to be one and done then forgotten about."
4.5,05/20/2021,"Zootopia is a utopia of imagination, every scene filled a flurry of cleverness and cuteness."
5,04/28/2021,"This review contains spoilers. Zootopia is one of the most loved animated films of recent years and considered by many to be a masterpiece. I am included among them. I've seen it at least 5 times, but each time it remains a perfectly aimed film. The animations are spectacular and from 10 and praise: the hairs are treated in detail and the areas of the city are memorable. Even in the characters sector we only have iconic characters: Nick is my favorite, well characterized and with a poignant background. Judy is a great protagonist and with a beautiful story arc. The sheep is a nice twist villain that the first time I wouldn't have bet a cent on her, and good motivation too. The story is deeply inspired, unpredictable and manages to entertain. The jokes are genuine and very funny. Zootopia is a great film that makes perfection its philosophy: there is nothing negative to mention and I'm really trying to find something! With photorealistic animations, fantastic script and well-made characters, Zootopia is a must see."
5,04/19/2021,"Probably one of the greatest movies Disney has ever made. There is something about Zootopia that makes me genuinely happy. Every time I sit down to re-watch this movie, I cannot help but get one fat smile on my face. My serotonin levels go through the roof whenever I watch the movie. Make no mistake, I LOVE this movie. This movie has everything I could ever want out of an animated feature. Intriguing story that keeps you invested all through out. The characters themselves are extremely fun and loveable. The main protagonist, Judy Hopps, is the type of person you would want to be friends with no matter what. Overall 10 outta 10, undeniably kino."
5,03/30/2021,So much fun to watch for all ages! I love love this movie!
5,03/29/2021,Great show. So original. The voice actors did an incredible job.
5,03/26/2021,"An interesting take on real life problems. From prejudices and stereotypes to disabilities and acceptance. A fresh insight. It's a brilliant film for all ages. There's so much to reflect and learn from. Also, a great look at relationships and how people relate to one another. With lita of humour and goregous animation, Zootropolis is a definite classic."
5,03/22/2021,"Excellent movie, that touches social issues, 5 stars"
5,03/10/2021,Amazing! Kids will enjoy it and adults will reflect on the importance of tolerance and the wonders that diversity brings to the world
5,03/08/2021,"""Zootopia"" is a smart, funny, and engaging film with a likable main character and a unique political angle"
5,03/02/2021,Funny and a amazing concept.
5,02/23/2021,I really didn't want to watch this movie but my sister still managed to force me to... I'm glad she was so persistent!
3,02/03/2021,"Watching this a few years after it came out and seeing all the accolades and warm reception it received makes it seem pretty clear that it was overrated upon release due to the political climate of early 2016. The story is indeed well-told and the animation is extremely good, far outstripping Moana from 8 months later, but the voice acting is only good, not great, there are no songs to be had and there's nothing to really latch onto as a favorite or memorable thing from the movie as they put a ton of effort into being well-rounded. There's a modicum of comedy, a dose of mystery and an underdog component but no facet of the movie is fantastic. I'm glad that I watched this as I'd heard of characters from the movie outside of it, but it's an otherwise-unmemorable police procedural with a rather plaudit-seeking morality angle."
5,01/26/2021,A great animated movie
4,01/23/2021,"A work of art produced by Disney that told the story of a young bunny who fought against all the odds to become a well respected police officer while unknowingly making a sly fox once a con artist into a best friend for life. In Zootopia there is no limits to what you can be, your biological species doesn't define your destiny. This made it even more enjoyable watching a struggling main character persevering through the hardship. It's nicely structured story coupled with hilarious scenes made the movie even more so enjoyable."
5,01/03/2021,Totally amazing!!! This Disney film was the BOMB over here! I LOVE IT!
4.5,12/28/2020,A great movie that is great
4.5,12/18/2020,This movie is great with amazing characters and their development. Kids and adults alike with really enjoy this film.
5,12/16/2020,It's a city with all sorts of animals. Sign me up!
4.5,12/11/2020,"This movie was released at a perfect time when people are judging each other by what's on the outside instead of realizing that we are all the same. There are no undertones as it is thrown in our face but in a digestible way, even kids can understand. The main character Judy even has to let go of the prejudice that she has grown up with her entire life. it is really a beautiful movie to watch. The only reason that I am taking half a star off is because of the time period and how they chose to focus on her career as a cop. Cops are so glorified nowadays that we always see them as just individuals even though the system is corrupt. Besides that amazing movie!"
4,12/05/2020,"Another fun, fast-paced Disney flick."
5,12/04/2020,"The Best Film Of The Year, So Far. From the studio that brought you Tangled, Wreck-It Ralph, Frozen & Big Hero 6, Zootopia surfaces as a highly original, incredibly refreshing, thoroughly engaging, surprisingly timely & delightfully subversive beast fable about prejudice & stereotype that not only marks a new creative high for Disney but is arguably the finest film that this legendary animation studio has come up with in their Revival Era, so far. Set in a world inhabited by anthropomorphic animals, the story of Zootopia takes place in the titular metropolis and follows a bunny cop named Judy Hopps who, despite her par excellent performance in the class, is assigned parking duty by her superior. But when she volunteers to undertake a missing-predator case, she is given 48 hours to solve the mystery or resign, following which she blackmails a sly fox into helping her, and uncovers a sinister conspiracy. Co-directed by Byron Howard & Rich Moore, the duo put up an intriguing world on the screen that does have a fresh quality but there is still a deep sense of familiarity to it. However, where the two leave a lasting impression is in finding that perfect balance between its consistently gripping storyline & moments of pure hilarity. The writing staff also deserves a mention, for their screenplay brims with numerous pop culture references, parodies many renowned classics & handles its topical themes with care. The 3D animation is absolutely top-notch, for the images retain its crispness, clarity & vibrancy from beginning to end. The animators put up a vast number of characters on the screen, ranging from the largest elephant to the smallest shrew, yet they are all given a well-defined arc. Cinematography further enhances the overall look n feel of the story with its fluid camera-work, splendid use of colour palette & spot-on lighting. Editing provides just enough screen time to all the relevant characters while moving the plot forward at a blistering pace. The cast is wisely chosen, and all the actors do a competent job in lending their voice & soul to the mammals they play. Ginnifer Goodwin brings a bubbly side to the new cop in town and confidently plays her role. Jason Bateman plays his part with finesse plus his voice really fits his cynical con artist character. Also, the chemistry between the two is a highlight in itself. Michael Giacchino's ebullient score seamlessly blends in & compliments the narrative while Shakira beautifully wraps everything up with a catchy, uplifting & wonderful song that smartly summarises its themes & message. On an overall scale, Zootopia finds Disney stepping out of its comfort zone to tackle a bold, ambitious & risky project, and it is one gamble that pays off tremendously well in the studio's favour. Also, its arrival couldn't have been better, considering how its elements of prejudice & stereotypes mirror the racial hostilities present in our very own current social environment. An ingenious blend of sophisticated storytelling, jubilant humour & thought-provoking themes that amazes, entertains & enlightens without ever compromising with the fun factor, Zootopia is a definite delight for viewers of all ages, and is undoubtedly the best film of the year, so far. Strongly recommended."
5,11/27/2020,One of my favorite Disney films of all time great movie
5,11/23/2020,"Emotionally compelling, amazing messages, and great characters. Zootopia is one the most mature films in animated movies to date. Not to mention how funny it is."
5,11/17/2020,"I think zootopia is a really good movie, and I would recommend it to people who like animals or animations(or both). is about a rabbit named Judy who wants to be the first rabbit police. She is disappointed because her boss makes her do parking duty. Then, she suddenly becomes in charge of the missing mammals case. With a fox named Nick, she starts to find the mammals...(no spoilers) My favorite part of the movie was the part where Judy started doing parking duty. Seeing her trying hard even though it wasn't what she expected looked good, and inspired me to do the same. My LEAST favorite part was...nothing."
5,11/14/2020,"I love the movie! very hilarious, adventures, and mysteries."
4.5,11/01/2020,"Such a clever, deep and touching movie. It blew my mind."
5,10/30/2020,Love this movie! And it's timely social messages.
5,10/22/2020,"A ""kids"" movie that actually has a good plot, great jokes & likeable, surprisingly realistic characters."
4.5,10/21/2020,"Zootopia is one of Disney's better films in recent times. The story is mostly about careers and race/stereotyping, but it had a unique spin and contained important messages. It didn't feel like a politically motivated plot; it was more of an introduction to the difficulties of life as you grow up. The pacing was good, the main characters were solid, the voice acting was fantastic, there was some good humour, and there were various entertaining references to other films like The Godfather. However, the villain was another twist villain just like in Big Hero 6 - Disney seems to love twist villains now, even though they don't work well. The villain was probably the biggest weakness of the film. The animation was beautiful as always, and the music fit well. It's a shame Disney is now more invested in ruining their original stories with live action remakes rather than making more films like this."
5,10/16/2020,"this animation is visually beautiful, has a great script and very good and a little funny characters."
5,10/13/2020,I don't think I've seen an animated film that tackled heavy themes about prejudice and hate better than or as uniquely as Zootopia. Its vibrant and colorful animation bring to life this world used to present clever allegories for racism and sexism.
3,10/10/2020,Good animation. Tired and overdone story of racial/cultural acceptance - not deep in the slightest. The cameos are barely there. The preview wrapped up the only scene that makes the movie memorable.
5,09/25/2020,"This by far is in my top three Disney animated movies of all time. This film is not just in an original idea having animals live in our world by their own means, but it also talks about important modern day problems such as racism, sexuality and much much more. It also ends up being a buddy cop film, Where a fox and a rabbit are hunting down some of Zootopia’s warrants. Everything in this film is perfect as far as I’m concerned the visuals, the score, the voice acting etc. I went into this film with mediocre expectations and I heard nothing but amazing things before I saw it in theaters and even going in with decent expectations my mind is still blown even after my fifth rewatch. This is one of those movies that is clearly just pure Disney magic."
5,09/16/2020,This movie is so exciting and one of disney's best.
4,09/12/2020,"Zootopia has some flaws, the first is the villain. Its stops the story and appears only for 5 minutes. The pointless Action scene at the end, the stiff way to hammer down fox's backstory and some of the characters (other than the villain) has not much of a moment to shine and a full impacts while also not having any likeable personalities. On the other hand, this film is great by not hammering down the massage, some clever scenes at times and some likable characters (especially the main once). I do have one criticism with the animation, the places gets reused and repeatetive. Story 8/10 Animation 9/10 Characters 8/10 8/10"
4.5,09/12/2020,"Simplesmente genial. Toda sátira feita aqui a sociedade é interessantíssima. As vezes com um tom critico, por vezes apenas cômico. As expressões faciais são de cair o queixo, sempre num padrão muito alto. O filme, com HDR, tem cores extremamente brilhantes, com frames absurdamente bem feitos. Os diálogos e toda subversão feita aqui, no caso utilizando os animais de uma forma alegórica, trazem criticas muito pertinentes, indo a fundo no consciente humano, sobre assuntos que aprecem simples, mas que nos assolam até hoje. Esse foi meu primeiro filme assistido na Q60T. Uma experiencia HDR sem igual. Super recomendado!"
